applicant_age,personal_sex,credit_duration_months,credit_amount,purpose,employment_years,num_existing_credits,savings_status,installment_rate_pct,credit_risk
58,male,6,1895.0,education,1.0,1,<100,2,1
24,male,24,5936.0,car,6.4,0,100-500,3,2
63,female,18,11998.0,business,9.1,0,unknown,1,2
50,male,36,3297.0,furniture,3.4,2,>1000,4,2
66,male,12,10590.0,repairs,2.5,1,500-1000,4,2
47,female,12,3126.0,radio/tv,1.4,0,500-1000,2,2
23,female,12,2268.0,furniture,1.7,1,500-1000,2,2
27,male,12,3677.0,business,5.0,0,100-500,2,2
49,female,36,2072.0,repairs,5.1,0,>1000,2,2
47,female,24,1685.0,car,3.8,1,>1000,1,2
65,male,6,1921.0,business,4.1,1,<100,4,2
29,male,36,1752.0,education,2.0,0,500-1000,3,2
29,male,48,1078.0,radio/tv,2.4,0,500-1000,2,1
64,male,36,2939.0,radio/tv,1.9,0,<100,2,2
54,male,48,4837.0,radio/tv,0.1,2,100-500,3,2
64,male,36,2354.0,education,1.4,0,>1000,1,2
57,female,18,1596.0,repairs,2.1,0,100-500,1,1
44,male,6,8626.0,education,4.9,1,unknown,4,2
19,male,24,3650.0,radio/tv,2.0,0,>1000,1,2
